diff,k,init,lr,seed,accuracy
medium,-1.5,c0.01,5e-4,3,0.7425
medium,-1.5,c0.02,1e-3,1,0.7755
medium,-1.5,c0.02,1e-3,2,0.7625
medium,-1.5,c0.02,1e-3,3,0.738
medium,-1.5,c0.02,1e-4,1,0.6515
medium,-1.5,c0.02,1e-4,2,0.5415
medium,-1.5,c0.02,1e-4,3,0.702
medium,-1.5,c0.02,3e-4,1,0.655
medium,-1.5,c0.02,3e-4,2,0.7285
medium,-1.5,c0.02,3e-4,3,0.704
medium,-1.5,c0.02,5e-4,1,0.7315
medium,-1.5,c0.02,5e-4,2,0.7895
medium,-1.5,c0.02,5e-4,3,0.6565
medium,-1.5,c0.04,1e-3,1,0.743
medium,-1.5,c0.04,1e-3,2,0.765
medium,-1.5,c0.04,1e-3,3,0.751
medium,-1.5,c0.04,1e-4,1,0.6485
medium,-1.5,c0.04,1e-4,2,0.522
medium,-1.5,c0.04,1e-4,3,0.666
medium,-1.5,c0.04,3e-4,1,0.613
medium,-1.5,c0.04,3e-4,2,0.752
medium,-1.5,c0.04,3e-4,3,0.6985
medium,-1.5,c0.04,5e-4,1,0.6595
medium,-1.5,c0.04,5e-4,2,0.7295
medium,-1.5,c0.04,5e-4,3,0.6595
medium,-1.5,c0.06,1e-3,1,0.614
medium,-1.5,c0.06,1e-3,2,0.78
medium,-1.5,c0.06,1e-3,3,0.745
medium,-1.5,c0.06,1e-4,1,0.487
medium,-1.5,c0.06,1e-4,2,0.682
medium,-1.5,c0.06,1e-4,3,0.5165
medium,-1.5,c0.06,3e-4,1,0.605
medium,-1.5,c0.06,3e-4,2,0.756
medium,-1.5,c0.06,3e-4,3,0.646
medium,-1.5,c0.06,5e-4,1,0.643
medium,-1.5,c0.06,5e-4,2,0.711
medium,-1.5,c0.06,5e-4,3,0.5665
medium,-1.5,c0.08,1e-3,1,0.7685
medium,-1.5,c0.08,1e-3,2,0.685
medium,-1.5,c0.08,1e-3,3,0.6525
medium,-1.5,c0.08,1e-4,1,0.6855
medium,-1.5,c0.08,1e-4,2,0.6785
medium,-1.5,c0.08,1e-4,3,0.4385
medium,-1.5,c0.08,3e-4,1,0.754
medium,-1.5,c0.08,3e-4,2,0.7005
medium,-1.5,c0.08,3e-4,3,0.6705
medium,-1.5,c0.08,5e-4,1,0.7815
medium,-1.5,c0.08,5e-4,2,0.769
medium,-1.5,c0.08,5e-4,3,0.579
medium,-1.5,ngpt,1e-3,1,0.6925
medium,-1.5,ngpt,1e-3,2,0.7665
medium,-1.5,ngpt,1e-3,3,0.774
medium,-1.5,ngpt,1e-4,1,0.674
medium,-1.5,ngpt,1e-4,2,0.6785
medium,-1.5,ngpt,1e-4,3,0.4505
medium,-1.5,ngpt,3e-4,1,0.703
medium,-1.5,ngpt,3e-4,2,0.7125
medium,-1.5,ngpt,3e-4,3,0.574
medium,-1.5,ngpt,5e-4,1,0.6495
medium,-1.5,ngpt,5e-4,2,0.703
medium,-1.5,ngpt,5e-4,3,0.675
