method,seed,nfe,temp,gen_ppl,entropy,num_unique,num_samples
duo,2,64,0.85,14.774462699890137,4.284549713134766,512,512
duo,3,64,0.85,14.268830299377441,4.284235954284668,512,512
duo,1,64,0.9,16.107450485229492,4.309462070465088,512,512
duo,2,64,0.9,16.57465362548828,4.306694507598877,512,512
duo,3,64,0.9,15.895389556884766,4.308114528656006,512,512
duo,1,64,0.95,17.483854293823242,4.325711727142334,512,512
duo,2,64,0.95,17.901731491088867,4.316713333129883,512,512
duo,3,64,0.95,17.17516326904297,4.331597328186035,512,512
duo,1,64,1.0,19.33340072631836,4.348955154418945,512,512
duo,2,64,1.0,19.92123031616211,4.342879295349121,512,512
duo,3,64,1.0,19.36994171142578,4.357285499572754,512,512
duo,1,64,1.05,21.721040725708008,4.364833354949951,512,512
duo,2,64,1.05,22.519779205322266,4.363555908203125,512,512
duo,3,64,1.05,21.374420166015625,4.367536544799805,512,512
duo,1,64,1.1,24.153409957885742,4.378715515136719,512,512
duo,2,64,1.1,24.97297477722168,4.377396583557129,512,512
duo,3,64,1.1,24.314136505126953,4.3853654861450195,512,512
duo,1,64,1.15,28.208045959472656,4.394759178161621,512,512
duo,2,64,1.15,29.161447525024414,4.3965840339660645,512,512
duo,3,64,1.15,27.665210723876953,4.398263454437256,512,512
duo,1,64,1.2,33.22610092163086,4.41057014465332,512,512
duo,2,64,1.2,34.873268127441406,4.408287048339844,512,512
duo,3,64,1.2,32.276817321777344,4.412788391113281,512,512
duo,1,128,0.5,9.775053024291992,4.100915908813477,512,512
duo,2,128,0.5,9.744688987731934,4.104757785797119,512,512
duo,3,128,0.5,9.765691757202148,4.110752582550049,512,512
duo,1,128,0.55,10.177607536315918,4.131537914276123,512,512
duo,2,128,0.55,10.164297103881836,4.1320343017578125,512,512
duo,3,128,0.55,9.967874526977539,4.140474319458008,512,512
duo,1,128,0.6,10.395209312438965,4.155900478363037,512,512
duo,2,128,0.6,10.396627426147461,4.164438724517822,512,512
duo,3,128,0.6,10.349230766296387,4.175551414489746,512,512
duo,1,128,0.65,11.028298377990723,4.198137283325195,512,512
duo,2,128,0.65,11.080398559570312,4.1956562995910645,512,512
duo,3,128,0.65,10.716833114624023,4.1975483894348145,512,512
duo,1,128,0.7,11.547796249389648,4.219764232635498,512,512
duo,2,128,0.7,11.704510688781738,4.217887878417969,512,512
duo,3,128,0.7,11.455633163452148,4.2210307121276855,512,512
duo,1,128,0.75,12.234281539916992,4.245412826538086,512,512
duo,2,128,0.75,12.346755981445312,4.238135814666748,512,512
duo,3,128,0.75,12.164682388305664,4.248762130737305,512,512
duo,1,128,0.8,13.303184509277344,4.269668102264404,512,512
duo,2,128,0.8,13.126479148864746,4.2605414390563965,512,512
duo,3,128,0.8,12.75891399383545,4.265957355499268,512,512
duo,1,128,0.85,14.215214729309082,4.287272930145264,512,512
duo,2,128,0.85,14.264640808105469,4.2877888679504395,512,512
duo,3,128,0.85,13.75711727142334,4.2865729331970215,512,512
duo,1,128,0.9,15.232460975646973,4.30830717086792,512,512
duo,2,128,0.9,15.707913398742676,4.309607028961182,512,512
duo,3,128,0.9,14.896241188049316,4.3154706954956055,512,512
duo,1,128,0.95,16.725976943969727,4.330109119415283,512,512
duo,2,128,0.95,16.79644775390625,4.3243608474731445,512,512
duo,3,128,0.95,16.18661117553711,4.322691440582275,512,512
duo,1,128,1.0,18.142393112182617,4.340269565582275,512,512
duo,2,128,1.0,18.826627731323242,4.342564582824707,512,512
duo,3,128,1.0,17.95319938659668,4.348162651062012,512,512
duo,1,128,1.05,20.55430793762207,4.362076759338379,512,512
duo,2,128,1.05,20.725017547607422,4.357940673828125,512,512
duo,3,128,1.05,20.082855224609375,4.360487937927246,512,512
duo,1,128,1.1,23.697250366210938,4.370697975158691,512,512
duo,2,128,1.1,23.877944946289062,4.3763227462768555,512,512
duo,3,128,1.1,23.203826904296875,4.383674621582031,512,512
duo,1,128,1.15,26.763347625732422,4.398745536804199,512,512
duo,2,128,1.15,27.644248962402344,4.392154216766357,512,512
duo,3,128,1.15,26.372127532958984,4.398317813873291,512,512
duo,1,128,1.2,31.659055709838867,4.412039756774902,512,512
duo,2,128,1.2,32.64666748046875,4.4068217277526855,512,512
duo,3,128,1.2,30.280166625976562,4.406130790710449,512,512
