method,gt,eta,seed,nfe,gen_ppl,entropy,num_unique,num_samples
eflm,quad,1.0,1,16,12.97308349609375,3.7683210372924805,512,512
eflm,quad,2.0,1,16,13.16376781463623,3.788405656814575,512,512
eflm,quad,4.0,1,16,13.342218399047852,3.828683376312256,512,512
eflm,quad,8.0,1,16,13.417019844055176,3.8673644065856934,512,512
eflm,quad,16.0,1,16,13.468559265136719,3.8747570514678955,512,512
eflm,quad,32.0,1,16,13.621335983276367,3.922391653060913,512,512
eflm,quad,0.25,1,64,11.46473217010498,3.7860536575317383,512,512
eflm,quad,0.5,1,64,11.348982810974121,3.7905609607696533,512,512
eflm,quad,1.0,1,64,11.510028839111328,3.790158748626709,512,512
eflm,quad,2.0,1,64,11.372499465942383,3.802304983139038,512,512
eflm,quad,4.0,1,64,11.445911407470703,3.8164632320404053,512,512
eflm,quad,8.0,1,64,11.366484642028809,3.830273389816284,512,512
eflm,quad,16.0,1,64,11.157242774963379,3.8448293209075928,512,512
eflm,quad,32.0,1,64,11.041647911071777,3.876129388809204,512,512
eflm,sqrt,0.25,1,4,33.6273307800293,3.584906578063965,512,512
eflm,sqrt,0.25,2,4,31.678190231323242,3.582798719406128,512,512
eflm,sqrt,0.25,3,4,38.377593994140625,3.3817331790924072,512,512
eflm,sqrt,0.5,1,4,36.885494232177734,3.6779141426086426,512,512
eflm,sqrt,0.5,2,4,34.87335968017578,3.6766152381896973,512,512
eflm,sqrt,0.5,3,4,39.373878479003906,3.535869836807251,512,512
eflm,sqrt,1.0,1,4,43.80756759643555,3.787388324737549,512,512
eflm,sqrt,1.0,2,4,42.5163459777832,3.793048143386841,512,512
eflm,sqrt,1.0,3,4,44.58274841308594,3.680192470550537,512,512
eflm,sqrt,2.0,1,4,69.1338119506836,3.9142839908599854,512,512
eflm,sqrt,2.0,2,4,69.34191131591797,3.9332146644592285,512,512
eflm,sqrt,2.0,3,4,68.14503479003906,3.827024459838867,512,512
eflm,sqrt,4.0,1,4,144.29336547851562,4.1005120277404785,512,512
eflm,sqrt,4.0,2,4,148.85208129882812,4.081606864929199,512,512
eflm,sqrt,4.0,3,4,140.41909790039062,3.9665780067443848,512,512
eflm,sqrt,8.0,1,4,390.6940002441406,3.95070481300354,512,512
eflm,sqrt,8.0,2,4,727.4555053710938,3.825897693634033,512,512
eflm,sqrt,8.0,3,4,457.0612487792969,4.138879299163818,512,512
eflm,sqrt,16.0,1,4,13735.5068359375,3.2571630477905273,512,512
eflm,sqrt,16.0,2,4,5305.427734375,4.5770158767700195,512,512
eflm,sqrt,16.0,3,4,25828.408203125,3.8879270553588867,512,512
eflm,sqrt,32.0,1,4,6770.3154296875,4.635236740112305,512,512
eflm,sqrt,32.0,2,4,5984.1572265625,5.072521686553955,512,512
eflm,sqrt,32.0,3,4,19087.421875,4.986392974853516,512,512
eflm,sqrt,0.25,1,8,15.932792663574219,3.7467541694641113,512,512
eflm,sqrt,0.25,2,8,14.816411972045898,3.759071111679077,512,512
eflm,sqrt,0.25,3,8,17.60611915588379,3.6686618328094482,512,512
eflm,sqrt,0.5,1,8,16.22356605529785,3.790241003036499,512,512
eflm,sqrt,0.5,2,8,15.161589622497559,3.8103690147399902,512,512
eflm,sqrt,0.5,3,8,17.154930114746094,3.7356321811676025,512,512
eflm,sqrt,1.0,1,8,16.628414154052734,3.8534634113311768,512,512
eflm,sqrt,1.0,2,8,15.87722110748291,3.8700997829437256,512,512
eflm,sqrt,1.0,3,8,17.29690933227539,3.8143553733825684,512,512
eflm,sqrt,2.0,1,8,19.0567684173584,3.939502477645874,512,512
eflm,sqrt,2.0,2,8,18.197946548461914,3.9562225341796875,512,512
eflm,sqrt,2.0,3,8,19.52942657470703,3.9094369411468506,512,512
eflm,sqrt,4.0,1,8,30.823392868041992,4.110804080963135,512,512
eflm,sqrt,4.0,2,8,30.602500915527344,4.119643688201904,512,512
eflm,sqrt,4.0,3,8,30.875350952148438,4.073385238647461,512,512
eflm,sqrt,8.0,1,8,169.38504028320312,4.4056267738342285,512,512
eflm,sqrt,8.0,2,8,179.19448852539062,4.38800573348999,512,512
eflm,sqrt,8.0,3,8,158.99380493164062,4.31250524520874,512,512
eflm,sqrt,16.0,1,8,9918.037109375,4.3540778160095215,512,512
eflm,sqrt,16.0,2,8,5211.0244140625,4.783263206481934,512,512
eflm,sqrt,16.0,3,8,23187.58984375,4.417795181274414,512,512
eflm,sqrt,32.0,1,8,13692.50390625,5.372786998748779,512,512
eflm,sqrt,32.0,2,8,15729.5859375,5.382309913635254,512,512
eflm,sqrt,32.0,3,8,9889.380859375,5.3172287940979,512,512
eflm,sqrt,0.25,1,16,12.419096946716309,3.7832610607147217,512,512
eflm,sqrt,0.5,1,16,12.128181457519531,3.800539493560791,512,512
eflm,sqrt,0.5,2,16,11.680310249328613,3.8297526836395264,512,512
eflm,sqrt,0.5,3,16,12.522805213928223,3.790478467941284,512,512
eflm,sqrt,1.0,1,16,12.009596824645996,3.8423426151275635,512,512
eflm,sqrt,1.0,2,16,11.698156356811523,3.8722927570343018,512,512
eflm,sqrt,1.0,3,16,12.325013160705566,3.8268015384674072,512,512
eflm,sqrt,2.0,1,16,11.949070930480957,3.893533945083618,512,512
eflm,sqrt,2.0,2,16,11.696571350097656,3.921034812927246,512,512
eflm,sqrt,2.0,3,16,12.210051536560059,3.883509397506714,512,512
eflm,sqrt,4.0,1,16,13.080806732177734,3.9749667644500732,512,512
eflm,sqrt,4.0,2,16,13.027213096618652,4.008554935455322,512,512
eflm,sqrt,4.0,3,16,13.115545272827148,3.959866762161255,512,512
eflm,sqrt,8.0,1,16,19.71242904663086,4.157013416290283,512,512
eflm,sqrt,8.0,2,16,19.322372436523438,4.171480178833008,512,512
eflm,sqrt,8.0,3,16,18.83759117126465,4.119607448577881,512,512
eflm,sqrt,16.0,1,16,135.3609161376953,4.525772571563721,512,512
eflm,sqrt,16.0,2,16,142.76803588867188,4.510321140289307,512,512
eflm,sqrt,16.0,3,16,126.60283660888672,4.463345050811768,512,512
eflm,sqrt,32.0,1,16,5264.40673828125,4.7967424392700195,512,512
eflm,sqrt,32.0,2,16,6977.53173828125,5.199489116668701,512,512
eflm,sqrt,32.0,3,16,17312.19921875,5.083446025848389,512,512
eflm,sqrt,64.0,1,16,14580.9765625,5.3915181159973145,512,512
eflm,sqrt,64.0,2,16,16030.4189453125,5.3908867835998535,512,512
eflm,sqrt,64.0,3,16,9408.6923828125,5.323974132537842,512,512
eflm,sqrt,0.5,1,32,11.154340744018555,3.8185882568359375,512,512
eflm,sqrt,0.5,2,32,10.558513641357422,3.8451950550079346,512,512
eflm,sqrt,0.5,3,32,11.285265922546387,3.8019702434539795,512,512
eflm,sqrt,1.0,1,32,10.930215835571289,3.8469302654266357,512,512
eflm,sqrt,1.0,2,32,10.417536735534668,3.8705942630767822,512,512
eflm,sqrt,1.0,3,32,10.82945442199707,3.8326401710510254,512,512
eflm,sqrt,2.0,1,32,10.532852172851562,3.8819761276245117,512,512
eflm,sqrt,2.0,2,32,10.232707023620605,3.909166097640991,512,512
eflm,sqrt,2.0,3,32,10.668793678283691,3.8727364540100098,512,512
eflm,sqrt,4.0,1,32,10.639180183410645,3.9492392539978027,512,512
eflm,sqrt,4.0,2,32,10.387063026428223,3.965157985687256,512,512
eflm,sqrt,4.0,3,32,10.461681365966797,3.920283079147339,512,512
eflm,sqrt,8.0,1,32,11.68798542022705,4.044515132904053,512,512
eflm,sqrt,8.0,2,32,11.218708038330078,4.041490077972412,512,512
eflm,sqrt,8.0,3,32,11.413962364196777,4.013827800750732,512,512
eflm,sqrt,16.0,1,32,15.860081672668457,4.197979927062988,512,512
eflm,sqrt,16.0,2,32,15.64162826538086,4.199737548828125,512,512
eflm,sqrt,16.0,3,32,15.158784866333008,4.153059959411621,512,512
eflm,sqrt,32.0,1,32,107.60271453857422,4.566961765289307,512,512
eflm,sqrt,32.0,2,32,113.98538208007812,4.558384895324707,512,512
eflm,sqrt,32.0,3,32,98.90888977050781,4.512145519256592,512,512
eflm,sqrt,64.0,1,32,14308.4892578125,5.3890061378479,512,512
